Team,Scoring Margin,eFG%,SPG+BPG,Rebound Margin,Win Percentage
Stony Brook (America East),1.0086149768058317,0.4650986342943854,10.565217391304348,1.0723039215686274,0.6428571428571429
Syracuse (ACC),1.0667006109979633,0.5121878715814506,13.142857142857142,0.9339622641509434,1.8
TCU (Big 12),0.937365010799136,0.4989495798319328,9.5,1.0089485458612975,0.8571428571428571
Temple (AAC),0.9564032697547684,0.4671658986175115,6.625,0.9797297297297297,0.45454545454545453
Tennessee St. (OVC),1.132438739789965,0.4958199356913183,12.074074074074074,1.0544662309368191,2.0
Tennessee Tech (OVC),0.9242068155111633,0.47466467958271236,10.565217391304348,0.8838268792710706,0.21052631578947367
Tennessee (SEC),0.8660240963855421,0.5009887936717206,8.814814814814815,0.9753218884120172,0.22727272727272727
Texas A&M (SEC),1.0901194353963084,0.5287653522947641,10.592592592592593,1.118790496760259,2.375
Texas Southern (SWAC),0.9601659751037345,0.4756728778467909,8.777777777777779,1.0360824742268042,0.8
Texas St. (Sun Belt),1.0636766334440753,0.4817774936061381,11.423076923076923,1.146551724137931,1.8888888888888888
Texas Tech (Big 12),1.0758263123784835,0.5132255694342396,9.8,1.1048387096774193,2.5714285714285716
Texas (Big 12),1.1472995090016367,0.4943181818181818,11.137931034482758,1.0497409326424871,1.6363636363636365
The Citadel (SoCon),1.0306278713629402,0.5338441890166028,9.76,1.0128755364806867,1.0833333333333333
Toledo (MAC),1.1165672326755391,0.5398608881754949,8.6,1.00625,2.3333333333333335
Towson (CAA),0.8999258710155671,0.45402843601895737,7.777777777777778,1.0623003194888179,0.2857142857142857
Troy (Sun Belt),0.9418125643666323,0.45206766917293234,9.357142857142858,1.0476190476190477,0.6470588235294118
Tulane (AAC),0.961412688031393,0.4424743892828999,10.565217391304348,0.8449438202247191,0.7692307692307693
Tulsa (AAC),1.042412193505633,0.5114896988906498,8.347826086956522,0.967741935483871,0.9166666666666666
UAB (C-USA),1.204233409610984,0.4934135166093929,12.137931034482758,1.0694164989939638,3.142857142857143
UC Davis (Big West),1.004654771140419,0.49019607843137253,10.277777777777779,0.9564489112227805,1.25
UC Irvine (Big West),1.139018691588785,0.49226006191950467,11.555555555555555,1.240139211136891,2.0
UC Riverside (Big West),1.1028571428571428,0.525390625,7.590909090909091,1.1051175656984786,1.75
UC Santa Barbara (Big West),1.209316037735849,0.5407431551499348,10.148148148148149,1.1843088418430885,4.4
UCF (AAC),0.9680651221039449,0.5007923930269413,10.26086956521739,0.9550561797752809,0.9166666666666666
UCLA (Pac-12),1.0726027397260274,0.5202156334231806,7.71875,1.1160714285714286,2.2
UConn (Big East),1.1111111111111112,0.4895533141210375,11.434782608695652,1.1535433070866141,1.875
