Team,GM,3FG,3FGA,3FG%,FGM,FGA,FG%,BLKS,BKPG,ST,STPG,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,W,L,WL%,REB,RPG,OPP REB,OPP RPG,REB MAR
Canisius (MAAC),13,97,327,29.7,321,786,40.8,45,3.5,73,5.6,915,70.4,925,71.2,-0.8,7,6,53.8,450,34.6,475,36.5,-1.9
Central Ark. (Southland),24,170,468,36.3,606,1388,43.7,64,2.7,121,5,1701,70.9,1933,80.5,-9.7,5,19,20.8,892,37.2,854,35.6,1.6
Central Conn. St. (NEC),21,150,463,32.4,522,1230,42.4,54,2.6,145,6.9,1439,68.5,1625,77.4,-8.9,5,16,23.8,664,31.6,821,39.1,-7.5
Central Mich. (MAC),23,152,462,32.9,631,1417,44.5,67,2.9,188,8.2,1766,76.8,1835,79.8,-3,7,16,30.4,833,36.2,890,38.7,-2.5
Charleston So. (Big South),21,160,506,31.6,480,1182,40.6,81,3.9,129,6.1,1375,65.5,1550,73.8,-8.3,3,18,14.3,750,35.7,794,37.8,-2.1
Charlotte (C-USA),25,143,441,32.4,545,1261,43.2,73,2.9,136,5.4,1587,63.5,1668,66.7,-3.2,9,16,36,779,31.2,798,31.9,-0.8
Chattanooga (SoCon),26,218,607,35.9,667,1522,43.8,48,1.8,178,6.8,1888,72.6,1801,69.3,3.3,18,8,69.2,881,33.9,907,34.9,-1
Chicago St. (WAC),9,51,203,25.1,180,497,36.2,13,1.4,49,5.4,499,55.4,798,88.7,-33.2,0,9,0,234,26,382,42.4,-16.4
Cincinnati (AAC),23,163,524,31.1,566,1339,42.3,87,3.8,155,6.7,1585,68.9,1659,72.1,-3.2,12,11,52.2,833,36.2,794,34.5,1.7
Clemson (ACC),24,198,574,34.5,562,1323,42.5,69,2.9,146,6.1,1558,64.9,1486,61.9,3,16,8,66.7,783,32.6,787,32.8,-0.2
Cleveland St. (Horizon),27,172,535,32.1,701,1558,45,69,2.6,188,7,1914,70.9,1922,71.2,-0.3,19,8,70.4,934,34.6,956,35.4,-0.8
Coastal Carolina (Sun Belt),26,221,618,35.8,732,1604,45.6,103,4,213,8.2,2067,79.5,1773,68.2,11.3,18,8,69.2,1130,43.5,873,33.6,9.9
Col. of Charleston (CAA),19,158,422,37.4,481,1066,45.1,53,2.8,100,5.3,1341,70.6,1329,69.9,0.6,9,10,47.4,623,32.8,637,33.5,-0.7
Colgate (Patriot),16,148,367,40.3,495,1005,49.3,55,3.4,113,7.1,1363,85.2,1114,69.6,15.6,14,2,87.5,638,39.9,561,35.1,4.8
Colorado St. (Mountain West),32,246,661,37.2,828,1816,45.6,88,2.8,167,5.2,2340,73.1,2042,63.8,9.3,23,9,71.9,1113,34.8,980,30.6,4.2
Colorado (Pac-12),28,235,666,35.3,715,1536,46.5,75,2.7,164,5.9,2072,74,1871,66.8,7.2,20,8,71.4,965,34.5,940,33.6,0.9
Coppin St. (MEAC),22,193,636,30.3,529,1287,41.1,71,3.2,188,8.5,1602,72.8,1741,79.1,-6.3,9,13,40.9,796,36.2,1027,46.7,-10.5
Creighton (Big East),31,293,811,36.1,878,1862,47.2,103,3.3,216,7,2355,76,2115,68.2,7.7,22,9,71,1108,35.7,1137,36.7,-0.9
CSU Bakersfield (Big West),26,146,414,35.3,684,1531,44.7,78,3,167,6.4,1811,69.7,1665,64,5.6,15,11,57.7,959,36.9,746,28.7,8.2
CSUN (Big West),22,170,503,33.8,560,1323,42.3,47,2.1,140,6.4,1586,72.1,1709,77.7,-5.6,9,13,40.9,730,33.2,824,37.5,-4.3
Davidson (Atlantic 10),22,216,594,36.4,573,1214,47.2,57,2.6,113,5.1,1579,71.8,1411,64.1,7.6,13,9,59.1,758,34.5,659,30,4.5
Dayton (Atlantic 10),24,192,516,37.2,592,1240,47.7,47,2,108,4.5,1674,69.8,1627,67.8,2,14,10,58.3,792,33,797,33.2,-0.2
Delaware St. (MEAC),15,107,321,33.3,347,793,43.8,54,3.6,69,4.6,1013,67.5,1012,67.5,0.1,7,8,46.7,530,35.3,494,32.9,2.4
Delaware (CAA),19,152,492,30.9,468,1183,39.6,69,3.6,123,6.5,1345,70.8,1629,85.7,-14.9,3,16,15.8,678,35.7,781,41.1,-5.4
Denver (Summit League),21,141,403,35,519,1172,44.3,54,2.6,120,5.7,1466,69.8,1662,79.1,-9.3,2,19,9.5,636,30.3,722,34.4,-4.1
DePaul (Big East),19,103,327,31.5,481,1154,41.7,74,3.9,130,6.8,1250,65.8,1367,71.9,-6.2,5,14,26.3,717,37.7,715,37.6,0.1
Detroit Mercy (Horizon),22,225,575,39.1,598,1290,46.4,54,2.5,150,6.8,1683,76.5,1627,74,2.5,12,10,54.5,719,32.7,746,33.9,-1.2
Drake (MVC),31,218,594,36.7,908,1878,48.3,92,3,216,7,2354,75.9,1999,64.5,11.5,26,5,83.9,1120,36.1,967,31.2,4.9
Drexel (CAA),20,145,391,37.1,514,1100,46.7,48,2.4,91,4.5,1407,70.3,1348,67.4,3,12,8,60,677,33.9,596,29.8,4
Duke (ACC),24,201,571,35.2,692,1479,46.8,109,4.5,197,8.2,1824,76,1711,71.3,4.7,13,11,54.2,851,35.5,809,33.7,1.8
Duquesne (Atlantic 10),18,115,385,29.9,438,1040,42.1,80,4.4,121,6.7,1205,66.9,1208,67.1,-0.2,9,9,50,654,36.3,649,36.1,0.3
East Carolina (AAC),19,109,359,30.4,449,1094,41,59,3.1,117,6.2,1269,66.8,1291,67.9,-1.2,8,11,42.1,653,34.4,681,35.8,-1.5
Eastern Ill. (OVC),27,186,574,32.4,707,1623,43.6,88,3.3,193,7.1,1874,69.4,2023,74.9,-5.5,9,18,33.3,947,35.1,985,36.5,-1.4
Eastern Ky. (OVC),29,279,778,35.9,871,1946,44.8,103,3.6,299,10.3,2372,81.8,2137,73.7,8.1,22,7,75.9,1033,35.6,1144,39.4,-3.8
Eastern Mich. (MAC),18,128,411,31.1,448,1077,41.6,42,2.3,159,8.8,1267,70.4,1362,75.7,-5.3,6,12,33.3,594,33,679,37.7,-4.7
Eastern Wash. (Big Sky),24,204,574,35.5,667,1425,46.8,70,2.9,115,4.8,1879,78.3,1690,70.4,7.9,16,8,66.7,853,35.5,827,34.5,1.1
Elon (CAA),19,154,473,32.6,449,1084,41.4,39,2.1,108,5.7,1249,65.7,1235,65,0.7,10,9,52.6,652,34.3,635,33.4,0.9
ETSU (SoCon),25,201,575,35,620,1416,43.8,63,2.5,184,7.4,1736,69.4,1654,66.2,3.3,13,12,52,897,35.9,823,32.9,3
Evansville (MVC),25,240,637,37.7,571,1299,44,56,2.2,122,4.9,1619,64.8,1740,69.6,-4.8,9,16,36,670,26.8,800,32,-5.2
Fairfield (MAAC),27,163,517,31.5,580,1456,39.8,62,2.3,125,4.6,1668,61.8,1800,66.7,-4.9,10,17,37,951,35.2,928,34.4,0.9
Fairleigh Dickinson (NEC),24,194,517,37.5,645,1432,45,93,3.9,182,7.6,1801,75,1890,78.8,-3.7,9,15,37.5,813,33.9,889,37,-3.2
FGCU (ASUN),18,146,499,29.3,483,1126,42.9,77,4.3,134,7.4,1292,71.8,1242,69,2.8,10,8,55.6,700,38.9,675,37.5,1.4
FIU (C-USA),26,273,816,33.5,690,1604,43,105,4,219,8.4,1914,73.6,1985,76.3,-2.7,9,17,34.6,848,32.6,995,38.3,-5.7
Fla. Atlantic (C-USA),23,223,587,38,652,1409,46.3,63,2.7,175,7.6,1796,78.1,1537,66.8,11.3,13,10,56.5,929,40.4,749,32.6,7.8
Florida A&M (MEAC),25,169,475,35.6,663,1407,47.1,131,5.2,180,7.2,1854,74.2,1757,70.3,3.9,15,10,60,882,35.3,831,33.2,2
Florida St. (ACC),20,95,303,31.4,500,1126,44.4,50,2.5,130,6.5,1314,65.7,1370,68.5,-2.8,8,12,40,709,35.5,708,35.4,0.1
Florida (SEC),25,192,510,37.6,693,1461,47.4,127,5.1,182,7.3,1929,77.2,1730,69.2,8,18,7,72,918,36.7,826,33,3.7
Fordham (Atlantic 10),14,79,294,26.9,257,716,35.9,28,2,87,6.2,725,51.8,932,66.6,-14.8,2,12,14.3,416,29.7,539,38.5,-8.8
Fresno St. (Mountain West),24,164,499,32.9,552,1289,42.8,70,2.9,158,6.6,1591,66.3,1618,67.4,-1.1,12,12,50,853,35.5,774,32.2,3.3
