Team,GM,3FG,3FGA,3FG%,FGM,FGA,FG%,BLKS,BKPG,ST,STPG,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,W,L,WL%,REB,RPG,OPP REB,OPP RPG,REB MAR
Minnesota (Big Ten),29,207,730,28.4,704,1794,39.2,134,4.6,183,6.3,2103,72.5,2123,73.2,-0.7,14,15,48.3,1067,36.8,1157,39.9,-3.1
Mississippi St. (SEC),33,179,522,34.3,847,1866,45.4,149,4.5,209,6.3,2287,69.3,2206,66.8,2.5,18,15,54.5,1287,39,1055,32,7
Mississippi Val. (SWAC),24,214,651,32.9,480,1347,35.6,71,3,110,4.6,1364,56.8,2097,87.4,-30.5,2,22,8.3,749,31.2,1087,45.3,-14.1
Missouri St. (MVC),26,184,567,32.5,668,1497,44.6,92,3.5,173,6.7,1909,73.4,1870,71.9,1.5,16,10,61.5,928,35.7,916,35.2,0.5
Missouri (SEC),24,180,515,35,637,1332,47.8,69,2.9,112,4.7,1762,73.4,1594,66.4,7,17,7,70.8,887,37,768,32,5
Monmouth (MAAC),20,154,424,36.3,518,1226,42.3,70,3.5,166,8.3,1521,76,1486,74.3,1.8,12,8,60,749,37.5,792,39.6,-2.1
Montana St. (Big Sky),28,154,425,36.2,697,1514,46,72,2.6,137,4.9,1981,70.8,1876,67,3.8,15,13,53.6,930,33.2,915,32.7,0.5
Montana (Big Sky),23,142,431,32.9,586,1298,45.1,52,2.3,129,5.6,1703,74,1655,72,2.1,13,10,56.5,777,33.8,756,32.9,0.9
Morehead St. (OVC),31,207,581,35.6,764,1651,46.3,155,5,136,4.4,2132,68.8,1986,64.1,4.7,23,8,74.2,1155,37.3,954,30.8,6.5
Morgan St. (MEAC),22,182,530,34.3,602,1389,43.3,82,3.7,173,7.9,1755,79.8,1606,73,6.8,14,8,63.6,873,39.7,792,36,3.7
Mount St. Mary's (NEC),23,152,455,33.4,527,1241,42.5,98,4.3,98,4.3,1454,63.2,1431,62.2,1,12,11,52.2,858,37.3,740,32.2,5.1
Murray St. (OVC),26,212,576,36.8,757,1522,49.7,91,3.5,175,6.7,1986,76.4,1739,66.9,9.5,13,13,50,939,36.1,832,32,4.1
N.C. A&T (MEAC),21,137,429,31.9,536,1273,42.1,56,2.7,183,8.7,1517,72.2,1523,72.5,-0.3,11,10,52.4,736,35,853,40.6,-5.6
N.C. Central (MEAC),14,95,280,33.9,333,791,42.1,39,2.8,102,7.3,942,67.3,1003,71.6,-4.4,5,9,35.7,446,31.9,522,37.3,-5.4
Navy (Patriot),18,111,340,32.6,466,1042,44.7,43,2.4,147,8.2,1287,71.5,1206,67,4.5,15,3,83.3,631,35.1,571,31.7,3.3
NC State (ACC),25,167,464,36,671,1425,47.1,106,4.2,202,8.1,1820,72.8,1742,69.7,3.1,14,11,56,812,32.5,841,33.6,-1.2
Nebraska (Big Ten),27,228,684,33.3,671,1604,41.8,88,3.3,193,7.1,1889,70,2004,74.2,-4.3,7,20,25.9,977,36.2,1074,39.8,-3.6
Nevada (Mountain West),26,201,567,35.4,646,1445,44.7,78,3,145,5.6,1916,73.7,1812,69.7,4,16,10,61.5,928,35.7,897,34.5,1.2
New Hampshire (America East),19,129,406,31.8,452,1125,40.2,55,2.9,104,5.5,1278,67.3,1266,66.6,0.6,10,9,52.6,706,37.2,665,35,2.2
New Mexico St. (WAC),22,105,382,27.5,538,1303,41.3,87,4,126,5.7,1436,65.3,1578,71.7,-6.5,6,16,27.3,839,38.1,771,35,3.1
New Mexico (Mountain West),20,175,553,31.6,492,1156,42.6,48,2.4,100,5,1422,71.1,1283,64.2,7,12,8,60,722,36.1,609,30.4,5.7
New Orleans (Southland),25,137,417,32.9,703,1476,47.6,70,2.8,190,7.6,1899,76,1910,76.4,-0.4,10,15,40,880,35.2,887,35.5,-0.3
Niagara (MAAC),20,128,409,31.3,448,1099,40.8,39,1.9,117,5.8,1293,64.7,1304,65.2,-0.6,9,11,45,632,31.6,722,36.1,-4.5
Nicholls (Southland),25,194,605,32.1,734,1611,45.6,83,3.3,228,9.1,1960,78.4,1831,73.2,5.2,18,7,72,956,38.2,949,38,0.3
NJIT (America East),19,119,390,30.5,440,1088,40.4,42,2.2,127,6.7,1256,66.1,1333,70.2,-4.1,7,12,36.8,596,31.4,707,37.2,-5.8
Norfolk St. (MEAC),25,194,528,36.7,630,1477,42.7,80,3.2,163,6.5,1839,73.6,1742,69.7,3.9,17,8,68,907,36.3,922,36.9,-0.6
North Carolina (ACC),29,162,509,31.8,801,1826,43.9,137,4.7,204,7,2181,75.2,2028,69.9,5.3,18,11,62.1,1243,42.9,942,32.5,10.4
North Dakota St. (Summit League),26,190,564,33.7,623,1454,42.8,55,2.1,134,5.2,1787,68.7,1969,75.7,-7,9,17,34.6,844,32.5,928,35.7,-3.2
North Dakota (Summit League),27,184,540,34.1,659,1491,44.2,69,2.6,105,3.9,1883,69.7,1827,67.7,2.1,15,12,55.6,998,37,819,30.3,6.6
North Florida (ASUN),23,229,625,36.6,570,1282,44.5,76,3.3,102,4.4,1601,69.6,1725,75,-5.4,8,15,34.8,753,32.7,849,36.9,-4.2
North Texas (C-USA),28,214,571,37.5,717,1516,47.3,81,2.9,182,6.5,1954,69.8,1745,62.3,7.5,18,10,64.3,925,33,865,30.9,2.1
Northeastern (CAA),19,162,458,35.4,457,1044,43.8,44,2.3,119,6.3,1277,67.2,1298,68.3,-1.1,10,9,52.6,623,32.8,675,35.5,-2.7
Northern Ariz. (Big Sky),22,139,397,35,505,1197,42.2,34,1.5,120,5.5,1390,63.2,1640,74.5,-11.4,6,16,27.3,628,28.5,745,33.9,-5.3
Northern Colo. (Big Sky),22,199,528,37.7,549,1221,45,59,2.7,95,4.3,1551,70.5,1519,69,1.5,11,11,50,760,34.5,697,31.7,2.9
Northern Ill. (MAC),19,104,321,32.4,456,1143,39.9,65,3.4,110,5.8,1184,62.3,1471,77.4,-15.1,3,16,15.8,688,36.2,706,37.2,-0.9
Northern Ky. (Horizon),25,179,584,30.7,658,1477,44.5,41,1.6,161,6.4,1784,71.4,1781,71.2,0.1,14,11,56,872,34.9,843,33.7,1.2
Northwestern St. (Southland),24,200,566,35.3,607,1402,43.3,63,2.6,148,6.2,1686,70.2,1681,70,0.2,9,15,37.5,808,33.7,861,35.9,-2.2
Northwestern (Big Ten),29,210,603,34.8,770,1788,43.1,85,2.9,202,7,2106,72.6,2312,79.7,-7.1,11,18,37.9,1031,35.6,1148,39.6,-4
Notre Dame (ACC),26,236,642,36.8,679,1479,45.9,102,3.9,111,4.3,1890,72.7,1933,74.3,-1.7,11,15,42.3,868,33.4,953,36.7,-3.3
Oakland (Horizon),30,259,778,33.3,773,1855,41.7,56,1.9,248,8.3,2240,74.7,2436,81.2,-6.5,12,18,40,1054,35.1,1167,38.9,-3.8
Ohio St. (Big Ten),25,209,593,35.2,728,1519,47.9,52,2.1,162,6.5,1980,79.2,1815,72.6,6.6,17,8,68,883,35.3,840,33.6,1.7
Ohio (MAC),31,252,700,36,819,1786,45.9,108,3.5,140,4.5,2392,77.2,2204,71.1,6.1,21,10,67.7,1135,36.6,1042,33.6,3
Oklahoma St. (Big 12),27,212,622,34.1,722,1630,44.3,98,3.6,193,7.1,2012,74.5,1886,69.9,4.7,16,11,59.3,965,35.7,977,36.2,-0.4
Oklahoma (Big 12),30,190,573,33.2,816,1780,45.8,132,4.4,224,7.5,2297,76.6,2181,72.7,3.9,21,9,70,1150,38.3,1082,36.1,2.3
Old Dominion (C-USA),23,113,392,28.8,586,1308,44.8,86,3.7,172,7.5,1571,68.3,1556,67.7,0.7,15,8,65.2,826,35.9,780,33.9,2
Ole Miss (SEC),28,146,486,30,700,1587,44.1,109,3.9,211,7.5,1927,68.8,1782,63.6,5.2,16,12,57.1,1024,36.6,894,31.9,4.6
Omaha (Summit League),25,133,397,33.5,625,1494,41.8,75,3,141,5.6,1683,67.3,1949,78,-10.6,5,20,20,853,34.1,942,37.7,-3.6
Oral Roberts (Summit League),29,323,850,38,811,1805,44.9,111,3.8,191,6.6,2352,81.1,2192,75.6,5.5,18,11,62.1,1006,34.7,1145,39.5,-4.8
Oregon St. (Pac-12),28,234,621,37.7,779,1652,47.2,103,3.7,208,7.4,2097,74.9,1915,68.4,6.5,21,7,75,927,33.1,898,32.1,1
Oregon (Pac-12),33,230,645,35.7,803,1843,43.6,116,3.5,191,5.8,2325,70.5,2232,67.6,2.8,20,13,60.6,1134,34.4,1110,33.6,0.7
Pacific (WCC),18,93,311,29.9,479,1093,43.8,61,3.4,116,6.4,1256,69.8,1272,70.7,-0.9,9,9,50,623,34.6,582,32.3,2.3
Penn St. (Big Ten),25,221,654,33.8,637,1562,40.8,59,2.4,198,7.9,1816,72.6,1825,73,-0.4,11,14,44,913,36.5,851,34,2.5
Pepperdine (WCC),27,187,573,32.6,744,1607,46.3,86,3.2,176,6.5,2076,76.9,1988,73.6,3.3,15,12,55.6,946,35,956,35.4,-0.4
Pittsburgh (ACC),22,144,426,33.8,554,1283,43.2,83,3.8,133,6,1566,71.2,1543,70.1,1,10,12,45.5,843,38.3,729,33.1,5.2
Portland St. (Big Sky),21,153,451,33.9,488,1187,41.1,61,2.9,132,6.3,1459,69.5,1748,83.2,-13.8,6,15,28.6,600,28.6,814,38.8,-10.2
Portland (WCC),22,152,517,29.4,532,1335,39.9,66,3,182,8.3,1512,68.7,1463,66.5,2.2,9,13,40.9,832,37.8,762,34.6,3.2
Prairie View (SWAC),21,139,457,30.4,567,1265,44.8,89,4.2,202,9.6,1497,71.3,1349,64.2,7,16,5,76.2,739,35.2,757,36,-0.9
Presbyterian (Big South),22,128,418,30.6,499,1199,41.6,49,2.2,154,7,1411,64.1,1476,67.1,-3,7,15,31.8,739,33.6,703,32,1.6
Providence (Big East),26,164,513,32,657,1529,43,78,3,147,5.7,1816,69.8,1813,69.7,0.1,13,13,50,928,35.7,947,36.4,-0.7
Purdue Fort Wayne (Horizon),28,201,603,33.3,714,1596,44.7,98,3.5,142,5.1,1989,71,1866,66.6,4.4,18,10,64.3,1054,37.6,880,31.4,6.2
Purdue (Big Ten),23,204,510,40,631,1259,50.1,64,2.8,156,6.8,1728,75.1,1809,78.7,-3.5,8,15,34.8,721,31.3,741,32.2,-0.9
Quinnipiac (MAAC),22,169,522,32.4,505,1258,40.1,100,4.5,123,5.6,1485,67.5,1518,69,-1.5,9,13,40.9,793,36,873,39.7,-3.6
Radford (Big South),27,158,504,31.3,644,1408,45.7,48,1.8,164,6.1,1826,67.6,1745,64.6,3,15,12,55.6,999,37,790,29.3,7.7
Rhode Island (Atlantic 10),25,143,458,31.2,635,1436,44.2,114,4.6,164,6.6,1786,71.4,1777,71.1,0.4,10,15,40,962,38.5,876,35,3.4
Rice (C-USA),28,286,800,35.8,731,1660,44,60,2.1,153,5.5,2068,73.9,2062,73.6,0.2,15,13,53.6,1039,37.1,987,35.2,1.9
Richmond (Atlantic 10),23,173,484,35.7,624,1321,47.2,49,2.1,204,8.9,1717,74.7,1587,69,5.7,14,9,60.9,692,30.1,806,35,-5
Rider (MAAC),23,145,411,35.3,564,1318,42.8,47,2,117,5.1,1553,67.5,1702,74,-6.5,6,17,26.1,765,33.3,785,34.1,-0.9
Robert Morris (Horizon),19,142,394,36,518,1169,44.3,57,3,124,6.5,1374,72.3,1494,78.6,-6.3,4,15,21.1,646,34,715,37.6,-3.6
Rutgers (Big Ten),28,172,551,31.2,741,1652,44.9,144,5.1,213,7.6,1939,69.2,1893,67.6,1.6,16,12,57.1,988,35.3,1019,36.4,-1.1
Sacramento St. (Big Sky),20,133,362,36.7,531,1157,45.9,45,2.2,138,6.9,1443,72.2,1442,72.1,0.1,8,12,40,631,31.6,658,32.9,-1.4
Sacred Heart (NEC),18,143,434,32.9,431,1046,41.2,38,2.1,88,4.9,1265,70.3,1350,75,-4.7,9,9,50,647,35.9,676,37.6,-1.6
Saint Francis (PA) (NEC),22,129,417,30.9,541,1266,42.7,48,2.2,127,5.8,1515,68.9,1614,73.4,-4.5,6,16,27.3,779,35.4,785,35.7,-0.3
Saint Joseph's (Atlantic 10),20,191,609,31.4,506,1238,40.9,36,1.8,120,6,1443,72.2,1652,82.6,-10.4,5,15,25,675,33.8,830,41.5,-7.8
Saint Louis (Atlantic 10),21,137,394,34.8,586,1269,46.2,69,3.3,155,7.4,1575,75,1374,65.4,9.6,14,7,66.7,810,38.6,624,29.7,8.9
Saint Mary's (CA) (WCC),24,148,503,29.4,562,1331,42.2,74,3.1,145,6,1542,64.2,1503,62.6,1.6,14,10,58.3,828,34.5,757,31.5,3
Saint Peter's (MAAC),25,154,477,32.3,555,1386,40,133,5.3,201,8,1580,63.2,1537,61.5,1.7,14,11,56,928,37.1,882,35.3,1.8
Sam Houston (Southland),28,255,715,35.7,797,1758,45.3,88,3.1,237,8.5,2229,79.6,1969,70.3,9.3,19,9,67.9,1033,36.9,1044,37.3,-0.4
Samford (SoCon),19,151,484,31.2,541,1218,44.4,47,2.5,129,6.8,1460,76.8,1510,79.5,-2.6,6,13,31.6,755,39.7,686,36.1,3.6
San Diego St. (Mountain West),14,82,270,30.4,352,847,41.6,48,3.4,94,6.7,927,66.2,1079,77.1,-10.9,3,11,21.4,469,33.5,547,39.1,-5.6
San Diego (WCC),28,240,651,36.9,719,1596,45.1,78,2.8,229,8.2,2062,73.6,1713,61.2,12.5,23,5,82.1,1003,35.8,895,32,3.9
San Francisco (WCC),25,259,759,34.1,647,1513,42.8,81,3.2,179,7.2,1786,71.4,1732,69.3,2.2,11,14,44,830,33.2,879,35.2,-2
San Jose St. (Mountain West),21,157,494,31.8,493,1257,39.2,57,2.7,99,4.7,1381,65.8,1708,81.3,-15.6,5,16,23.8,722,34.4,943,44.9,-10.5
Santa Clara (WCC),20,110,359,30.6,486,1121,43.4,78,3.9,88,4.4,1393,69.7,1412,70.6,-0.9,12,8,60,729,36.5,723,36.1,0.3
Seattle U (WAC),23,186,593,31.4,593,1426,41.6,80,3.5,151,6.6,1677,72.9,1578,68.6,4.3,12,11,52.2,776,33.7,867,37.7,-4
Seton Hall (Big East),27,180,561,32.1,673,1525,44.1,118,4.4,170,6.3,1924,71.3,1881,69.7,1.6,14,13,51.9,941,34.9,936,34.7,0.2
SFA (Southland),21,100,297,33.7,622,1195,52.1,73,3.5,199,9.5,1686,80.3,1484,70.7,9.6,16,5,76.2,751,35.8,606,28.9,6.9
Siena (MAAC),17,108,314,34.4,411,894,46,56,3.3,94,5.5,1149,67.6,1071,63,4.6,12,5,70.6,594,34.9,555,32.6,2.3
SIUE (OVC),26,156,490,31.8,619,1403,44.1,121,4.7,153,5.9,1709,65.7,1897,73,-7.2,9,17,34.6,854,32.8,913,35.1,-2.3
SMU (AAC),17,130,371,35,456,999,45.6,77,4.5,104,6.1,1269,74.6,1158,68.1,6.5,11,6,64.7,624,36.7,594,34.9,1.8
South Alabama (Sun Belt),28,256,707,36.2,715,1621,44.1,91,3.2,200,7.1,2075,74.1,1985,70.9,3.2,17,11,60.7,996,35.6,1062,37.9,-2.4
South Carolina St. (MEAC),21,142,466,30.5,566,1364,41.5,77,3.7,176,8.4,1523,72.5,1662,79.1,-6.6,6,15,28.6,755,36,796,37.9,-2
South Carolina (SEC),18,123,388,31.7,401,1033,38.8,50,2.8,106,5.9,1102,61.2,1414,78.6,-17.3,1,17,5.6,563,31.3,699,38.8,-7.6
South Dakota St. (Summit League),25,186,478,38.9,674,1439,46.8,61,2.4,114,4.6,1899,76,1805,72.2,3.8,14,11,56,871,34.8,854,34.2,0.7
South Dakota (Summit League),23,185,458,40.4,655,1315,49.8,71,3.1,127,5.5,1850,80.4,1690,73.5,7,16,7,69.6,822,35.7,714,31,4.7
South Fla. (AAC),22,138,422,32.7,516,1277,40.4,62,2.8,116,5.3,1449,65.9,1571,71.4,-5.5,9,13,40.9,831,37.8,743,33.8,4
Southeast Mo. St. (OVC),27,205,582,35.2,630,1468,42.9,64,2.4,185,6.9,1864,69,1936,71.7,-2.7,11,16,40.7,949,35.1,890,33,2.2
Southeastern La. (Southland),26,177,607,29.2,591,1498,39.5,64,2.5,180,6.9,1775,68.3,2019,77.7,-9.4,8,18,30.8,887,34.1,940,36.2,-2
Southern California (Pac-12),33,214,594,36,904,1917,47.2,168,5.1,157,4.8,2473,74.9,2148,65.1,9.8,25,8,75.8,1282,38.8,1077,32.6,6.2
Southern Ill. (MVC),26,210,560,37.5,614,1362,45.1,48,1.8,160,6.2,1704,65.5,1770,68.1,-2.5,12,14,46.2,772,29.7,889,34.2,-4.5
Southern Miss. (C-USA),25,134,421,31.8,603,1396,43.2,52,2.1,148,5.9,1605,64.2,1668,66.7,-2.5,8,17,32,881,35.2,857,34.3,1
Southern U. (SWAC),19,104,322,32.3,465,1077,43.2,49,2.6,155,8.2,1327,69.8,1335,70.3,-0.4,8,11,42.1,690,36.3,639,33.6,2.7
Southern Utah (Big Sky),24,211,618,34.1,699,1475,47.4,63,2.6,168,7,2021,84.2,1669,69.5,14.7,20,4,83.3,946,39.4,757,31.5,7.9
St. Bonaventure (Atlantic 10),21,134,390,34.4,542,1224,44.3,83,4,123,5.9,1471,70,1283,61.1,9,16,5,76.2,775,36.9,708,33.7,3.2
St. Francis Brooklyn (NEC),19,118,356,33.1,542,1215,44.6,66,3.5,153,8.1,1476,77.7,1511,79.5,-1.8,9,10,47.4,688,36.2,704,37.1,-0.8
St. John's (NY) (Big East),27,200,580,34.5,779,1744,44.7,105,3.9,246,9.1,2132,79,2072,76.7,2.2,16,11,59.3,971,36,1023,37.9,-1.9
Stanford (Pac-12),27,145,451,32.2,678,1461,46.4,92,3.4,191,7.1,1883,69.7,1879,69.6,0.1,14,13,51.9,905,33.5,905,33.5,0
Stetson (ASUN),27,246,667,36.9,687,1587,43.3,74,2.7,188,7,1925,71.3,1896,70.2,1.1,12,15,44.4,959,35.5,920,34.1,1.4
Stony Brook (America East),23,140,473,29.6,543,1318,41.2,114,5,129,5.6,1522,66.2,1509,65.6,0.6,9,14,39.1,875,38,816,35.5,2.6
Syracuse (ACC),28,237,679,34.9,743,1682,44.2,141,5,227,8.1,2095,74.8,1964,70.1,4.7,18,10,64.3,990,35.4,1060,37.9,-2.5
TCU (Big 12),26,175,518,33.8,625,1428,43.8,90,3.5,157,6,1736,66.8,1852,71.2,-4.5,12,14,46.2,902,34.7,894,34.4,0.3
Temple (AAC),16,115,336,34.2,348,868,40.1,39,2.4,67,4.2,1053,65.8,1101,68.8,-3,5,11,31.2,580,36.2,592,37,-0.8
Tennessee St. (OVC),27,178,539,33,682,1555,43.9,130,4.8,196,7.3,1941,71.9,1714,63.5,8.4,18,9,66.7,968,35.9,918,34,1.9
Tennessee Tech (OVC),23,138,480,28.8,568,1342,42.3,73,3.2,170,7.4,1573,68.4,1702,74,-5.6,4,19,17.4,776,33.7,878,38.2,-4.4
Tennessee (SEC),27,208,648,32.1,656,1517,43.2,62,2.3,176,6.5,1797,66.6,2075,76.9,-10.3,5,22,18.5,909,33.7,932,34.5,-0.9
Texas A&M (SEC),27,232,652,35.6,702,1547,45.4,110,4.1,176,6.5,2008,74.4,1842,68.2,6.1,19,8,70.4,1036,38.4,926,34.3,4.1
Texas Southern (SWAC),18,117,391,29.9,401,966,41.5,34,1.9,124,6.9,1157,64.3,1205,66.9,-2.7,8,10,44.4,603,33.5,582,32.3,1.2
Texas St. (Sun Belt),26,117,424,27.6,695,1564,44.4,115,4.4,182,7,1921,73.9,1806,69.5,4.4,17,9,65.4,1064,40.9,928,35.7,5.2
Texas Tech (Big 12),25,139,366,38,629,1361,46.2,73,2.9,172,6.9,1660,66.4,1543,61.7,4.7,18,7,72,822,32.9,744,29.8,3.1
Texas (Big 12),29,185,523,35.4,734,1672,43.9,116,4,207,7.1,2103,72.5,1833,63.2,9.3,18,11,62.1,1013,34.9,965,33.3,1.7
The Citadel (SoCon),25,256,720,35.6,708,1566,45.2,108,4.3,136,5.4,2019,80.8,1959,78.4,2.4,13,12,52,944,37.8,932,37.3,0.5
Toledo (MAC),30,314,843,37.2,852,1869,45.6,74,2.5,184,6.1,2433,81.1,2179,72.6,8.5,21,9,70,1127,37.6,1120,37.3,0.2
Towson (CAA),18,90,311,28.9,434,1055,41.1,50,2.8,90,5,1214,67.4,1349,74.9,-7.5,4,14,22.2,665,36.9,626,34.8,2.2
Troy (Sun Belt),28,171,619,27.6,636,1596,39.8,87,3.1,175,6.2,1829,65.3,1942,69.4,-4,11,17,39.3,1056,37.7,1008,36,1.7
Tulane (AAC),23,151,507,29.8,486,1269,38.3,71,3.1,172,7.5,1470,63.9,1529,66.5,-2.6,10,13,43.5,752,32.7,890,38.7,-6
Tulsa (AAC),23,159,504,31.5,566,1262,44.8,46,2,146,6.3,1573,68.4,1509,65.6,2.8,11,12,47.8,780,33.9,806,35,-1.1
UAB (C-USA),29,147,475,30.9,788,1746,45.1,121,4.2,231,8,2105,72.6,1748,60.3,12.3,22,7,75.9,1063,36.7,994,34.3,2.4
UC Davis (Big West),18,102,315,32.4,449,1020,44,50,2.8,135,7.5,1295,71.9,1289,71.6,0.3,10,8,55.6,571,31.7,597,33.2,-1.4
UC Irvine (Big West),27,132,390,33.8,729,1615,45.1,108,4,204,7.6,1950,72.2,1712,63.4,8.8,18,9,66.7,1069,39.6,862,31.9,7.7
UC Riverside (Big West),22,201,542,37.1,572,1280,44.7,51,2.3,116,5.3,1544,70.2,1400,63.6,6.5,14,8,63.6,799,36.3,723,32.9,3.5
UC Santa Barbara (Big West),27,181,522,34.7,739,1534,48.2,75,2.8,199,7.4,2051,76,1696,62.8,13.1,22,5,81.5,951,35.2,803,29.7,5.5
UCF (AAC),23,180,507,35.5,542,1262,42.9,79,3.4,157,6.8,1546,67.2,1597,69.4,-2.2,11,12,47.8,765,33.3,801,34.8,-1.6
UCLA (Pac-12),32,218,586,37.2,856,1855,46.1,89,2.8,158,4.9,2349,73.4,2190,68.4,5,22,10,68.8,1125,35.2,1008,31.5,3.7
UConn (Big East),23,155,463,33.5,602,1388,43.4,121,5.3,142,6.2,1650,71.7,1485,64.6,7.2,15,8,65.2,879,38.2,762,33.1,5.1
UIC (Horizon),22,178,544,32.7,558,1301,42.9,68,3.1,81,3.7,1489,67.7,1591,72.3,-4.6,9,13,40.9,766,34.8,818,37.2,-2.4
UIW (Southland),22,168,449,37.4,524,1178,44.5,41,1.9,118,5.4,1495,68,1578,71.7,-3.8,8,14,36.4,689,31.3,774,35.2,-3.9
ULM (Sun Belt),26,194,571,34,609,1464,41.6,74,2.8,193,7.4,1670,64.2,1792,68.9,-4.7,7,19,26.9,794,30.5,974,37.5,-6.9
UMass Lowell (America East),23,150,433,34.6,560,1240,45.2,89,3.9,115,5,1575,68.5,1631,70.9,-2.4,11,12,47.8,794,34.5,759,33,1.5
UMBC (America East),20,139,408,34.1,483,1099,43.9,35,1.8,102,5.1,1391,69.5,1298,64.9,4.7,14,6,70,730,36.5,680,34,2.5
UNC Asheville (Big South),20,161,450,35.8,548,1152,47.6,87,4.3,140,7,1468,73.4,1456,72.8,0.6,10,10,50,669,33.5,748,37.4,-4
UNC Greensboro (SoCon),30,228,763,29.9,822,1954,42.1,115,3.8,224,7.5,2189,73,2020,67.3,5.6,21,9,70,1174,39.1,1091,36.4,2.8
UNCW (CAA),17,128,371,34.5,442,1011,43.7,60,3.5,103,6.1,1297,76.3,1253,73.7,2.6,7,10,41.2,548,32.2,605,35.6,-3.4
UNI (MVC),25,186,572,32.5,647,1461,44.3,64,2.6,161,6.4,1738,69.5,1779,71.2,-1.6,10,15,40,894,35.8,837,33.5,2.3
UNLV (Mountain West),27,225,639,35.2,706,1587,44.5,76,2.8,172,6.4,1875,69.4,1822,67.5,2,12,15,44.4,973,36,875,32.4,3.6
USC Upstate (Big South),23,171,507,33.7,538,1268,42.4,59,2.6,143,6.2,1515,65.9,1712,74.4,-8.6,5,18,21.7,717,31.2,824,35.8,-4.7
UT Arlington (Sun Belt),26,235,659,35.7,677,1659,40.8,124,4.8,215,8.3,1916,73.7,1827,70.3,3.4,13,13,50,973,37.4,1018,39.2,-1.7
UT Martin (OVC),24,165,495,33.3,556,1393,39.9,62,2.6,172,7.2,1571,65.5,1847,77,-11.5,8,16,33.3,775,32.3,886,36.9,-4.6
Utah St. (Mountain West),25,172,484,35.5,656,1398,46.9,85,3.4,136,5.4,1803,72.1,1745,69.8,2.3,12,13,48,782,31.3,849,34,-2.7
Utah Valley (WAC),29,185,557,33.2,773,1732,44.6,145,5,193,6.7,2105,72.6,1808,62.3,10.2,20,9,69,1180,40.7,881,30.4,10.3
Utah (Pac-12),22,116,335,34.6,592,1246,47.5,101,4.6,115,5.2,1632,74.2,1635,74.3,-0.1,11,11,50,854,38.8,713,32.4,6.4
UTEP (C-USA),24,171,524,32.6,608,1432,42.5,67,2.8,150,6.2,1698,70.8,1644,68.5,2.2,12,12,50,827,34.5,849,35.4,-0.9
UTRGV (WAC),19,126,429,29.4,476,1164,40.9,81,4.3,169,8.9,1376,72.4,1287,67.7,4.7,9,10,47.4,743,39.1,757,39.8,-0.7
UTSA (C-USA),26,209,625,33.4,768,1717,44.7,83,3.2,161,6.2,2050,78.8,1906,73.3,5.5,15,11,57.7,1001,38.5,952,36.6,1.9
Valparaiso (MVC),28,189,635,29.8,660,1576,41.9,97,3.5,183,6.5,1821,65,1902,67.9,-2.9,10,18,35.7,920,32.9,1032,36.9,-4
Vanderbilt (SEC),25,233,667,34.9,609,1416,43,65,2.6,175,7,1794,71.8,1809,72.4,-0.6,9,16,36,843,33.7,867,34.7,-1
VCU (Atlantic 10),26,168,510,32.9,659,1460,45.1,140,5.4,240,9.2,1864,71.7,1694,65.2,6.5,19,7,73.1,893,34.3,909,35,-0.6
Vermont (America East),15,116,337,34.4,383,828,46.3,39,2.6,75,5,1095,73,951,63.4,9.6,10,5,66.7,524,34.9,467,31.1,3.8
Villanova (Big East),25,229,648,35.3,655,1445,45.3,47,1.9,127,5.1,1870,74.8,1663,66.5,8.3,18,7,72,847,33.9,818,32.7,1.2
Virginia Tech (ACC),25,212,566,37.5,629,1326,47.4,111,4.4,123,4.9,1705,68.2,1513,60.5,7.7,18,7,72,791,31.6,737,29.5,2.2
Virginia (ACC),22,180,508,35.4,558,1240,45,85,3.9,106,4.8,1585,72,1451,66,6.1,15,7,68.2,760,34.5,708,32.2,2.4
VMI (SoCon),25,270,711,38,706,1517,46.5,75,3,134,5.4,2001,80,1897,75.9,4.2,13,12,52,963,38.5,913,36.5,2
Wagner (NEC),20,117,368,31.8,533,1205,44.2,51,2.5,147,7.3,1425,71.2,1374,68.7,2.5,13,7,65,713,35.6,645,32.2,3.4
Wake Forest (ACC),22,195,562,34.7,501,1222,41,48,2.2,136,6.2,1458,66.3,1583,72,-5.7,6,16,27.3,718,32.6,749,34,-1.4
Washington St. (Pac-12),26,197,593,33.2,641,1513,42.4,95,3.7,158,6.1,1759,67.7,2012,77.4,-9.7,5,21,19.2,811,31.2,1013,39,-7.8
Washington (Pac-12),27,208,610,34.1,633,1539,41.1,95,3.5,167,6.2,1853,68.6,1821,67.4,1.2,14,13,51.9,1028,38.1,941,34.9,3.2
Weber St. (Big Sky),23,193,496,38.9,656,1300,50.5,69,3,154,6.7,1881,81.8,1594,69.3,12.5,17,6,73.9,754,32.8,714,31,1.7
West Virginia (Big 12),29,216,593,36.4,769,1793,42.9,82,2.8,220,7.6,2243,77.3,2089,72,5.3,19,10,65.5,1100,37.9,1024,35.3,2.6
Western Caro. (SoCon),27,226,662,34.1,716,1577,45.4,75,2.8,134,5,2039,75.5,2129,78.9,-3.3,11,16,40.7,927,34.3,944,35,-0.6
Western Ill. (Summit League),22,157,497,31.6,550,1363,40.4,67,3,116,5.3,1606,73,1746,79.4,-6.4,7,15,31.8,839,38.1,803,36.5,1.6
