Rank,Team,GM,W-L,PTS,PPG,3FG,3FGA,FGM,FGA,FG%
293,SIUE (OVC),26,9-17,"1,709",65.7,156,490,619,"1,403",44.1
88,SMU (AAC),17,11-6,"1,269",74.6,130,371,456,999,45.6
100,South Alabama (Sun Belt),28,17-11,"2,075",74.1,256,707,715,"1,621",44.1
334,South Carolina St. (MEAC),18,1-17,"1,102",61.2,123,388,401,"1,033",38.8
135,South Carolina (SEC),21,6-15,"1,523",72.5,142,466,566,"1,364",41.5
18,South Dakota St. (Summit League),23,16-7,"1,850",80.4,185,458,655,"1,315",49.8
64,South Dakota (Summit League),25,14-11,"1,899",76,186,478,674,"1,439",46.8
287,South Fla. (AAC),22,9-13,"1,449",65.9,138,422,516,"1,277",40.4
232,Southeast Mo. St. (OVC),27,11-16,"1,864",69,205,582,630,"1,468",42.9
249,Southeastern La. (Southland),26,8-18,"1,775",68.3,177,607,591,"1,498",39.5
78,Southern California (Pac-12),33,25-8,"2,473",74.9,214,594,904,"1,917",47.2
297,Southern Ill. (MVC),26,12-14,"1,704",65.5,210,560,614,"1,362",45.1
316,Southern Miss. (C-USA),25,8-17,"1,605",64.2,134,421,603,"1,396",43.2
206,Southern U. (SWAC),19,8-11,"1,327",69.8,104,322,465,"1,077",43.2
3,Southern Utah (Big Sky),24,20-4,"2,021",84.2,211,618,699,"1,475",47.4
202,St. Bonaventure (Atlantic 10),21,16-5,"1,471",70,134,390,542,"1,224",44.3
39,St. Francis Brooklyn (NEC),19,9-10,"1,476",77.7,118,356,542,"1,215",44.6
30,St. John's (NY) (Big East),27,16-11,"2,132",79,200,580,779,"1,744",44.7
211,Stanford (Pac-12),27,14-13,"1,883",69.7,145,451,678,"1,461",46.4
170,Stetson (ASUN),27,12-15,"1,925",71.3,246,667,687,"1,587",43.3
283,Stony Brook (America East),23,9-14,"1,522",66.2,140,473,543,"1,318",41.2
82,Syracuse (ACC),28,18-10,"2,095",74.8,237,679,743,"1,682",44.2
273,TCU (Big 12),26,12-14,"1,736",66.8,175,518,625,"1,428",43.8
289,Temple (AAC),16,5-11,"1,053",65.8,115,336,348,868,40.1
245,Tennessee St. (OVC),23,4-19,"1,573",68.4,138,480,568,"1,342",42.3
275,Tennessee Tech (OVC),27,5-22,"1,797",66.6,208,648,656,"1,517",43.2
152,Tennessee (SEC),27,18-9,"1,941",71.9,178,539,682,"1,555",43.9
312,Texas A&M (SEC),18,8-10,"1,157",64.3,117,391,401,966,41.5
104,Texas Southern (SWAC),26,17-9,"1,921",73.9,117,424,695,"1,564",44.4
278,Texas St. (Sun Belt),25,18-7,"1,660",66.4,139,366,629,"1,361",46.2
136,Texas Tech (Big 12),29,18-11,"2,103",72.5,185,523,734,"1,672",43.9
93,Texas (Big 12),27,19-8,"2,008",74.4,232,652,702,"1,547",45.4
16,The Citadel (SoCon),25,13-12,"2,019",80.8,256,720,708,"1,566",45.2
15,Toledo (MAC),30,21-9,"2,433",81.1,314,843,852,"1,869",45.6
264,Towson (CAA),18,4-14,"1,214",67.4,90,311,434,"1,055",41.1
304,Troy (Sun Belt),28,11-17,"1,829",65.3,171,619,636,"1,596",39.8
318,Tulane (AAC),23,10-13,"1,470",63.9,151,507,486,"1,269",38.3
245,Tulsa (AAC),23,11-12,"1,573",68.4,159,504,566,"1,262",44.8
132,UAB (C-USA),29,22-7,"2,105",72.6,147,475,788,"1,746",45.1
151,UC Davis (Big West),18,10-8,"1,295",71.9,102,315,449,"1,020",44
143,UC Irvine (Big West),27,18-9,"1,950",72.2,132,390,729,"1,615",45.1
200,UC Riverside (Big West),22,14-8,"1,544",70.2,201,542,572,"1,280",44.7
63,UC Santa Barbara (Big West),27,22-5,"2,051",76,181,522,739,"1,534",48.2
269,UCF (AAC),23,11-12,"1,546",67.2,180,507,542,"1,262",42.9
123,UCLA (Pac-12),31,22-9,"2,259",72.9,210,569,822,"1,796",45.8
156,UConn (Big East),23,15-8,"1,650",71.7,155,463,602,"1,388",43.4
256,UIC (Horizon),22,9-13,"1,489",67.7,178,544,558,"1,301",42.9
254,UIW (Southland),22,8-14,"1,495",68,168,449,524,"1,178",44.5
314,ULM (Sun Belt),26,7-19,"1,670",64.2,194,571,609,"1,464",41.6
244,UMass Lowell (America East),23,11-12,"1,575",68.5,150,433,560,"1,240",45.2
219,UMBC (America East),20,14-6,"1,391",69.5,139,408,483,"1,099",43.9
114,UNC Asheville (Big South),20,10-10,"1,468",73.4,161,450,548,"1,152",47.6
121,UNC Greensboro (SoCon),30,21-9,"2,189",73,228,763,822,"1,954",42.1
